day,S,I,R
1,997,3,0
2,993,5,2
3,988,10,2
4,981,16,3
5,970,23,7
6,955,36,9
7,938,50,12
8,908,72,20
9,878,89,33
10,828,132,40
11,759,182,59
12,688,232,80
13,574,301,125
14,464,370,166
15,357,440,203
16,263,475,262
17,187,490,323
18,126,495,379
19,78,494,428
20,43,483,474
21,17,465,518
22,9,428,563
23,5,403,592
24,0,375,625
25,0,336,664
26,0,307,693
27,0,290,710
28,0,268,732
29,0,238,762
30,0,213,787
31,0,195,805
32,0,170,830
33,0,146,854
34,0,135,865
35,0,123,877
36,0,110,890
37,0,98,902
38,0,89,911
39,0,83,917
40,0,77,923
41,0,68,932
42,0,64,936
43,0,57,943
44,0,56,944
45,0,48,952
46,0,42,958
47,0,40,960
48,0,32,968
49,0,27,973
50,0,24,976
51,0,21,979
52,0,20,980
53,0,17,983
54,0,16,984
55,0,16,984
56,0,16,984
57,0,15,985
58,0,14,986
59,0,14,986
60,0,10,990
61,0,9,991
62,0,9,991
63,0,8,992
64,0,7,993
65,0,7,993
66,0,5,995
67,0,4,996
68,0,4,996
69,0,4,996
70,0,4,996
71,0,4,996
72,0,3,997
73,0,3,997
74,0,3,997
75,0,3,997
76,0,3,997
77,0,3,997
78,0,2,998
79,0,2,998
80,0,2,998
81,0,2,998
82,0,2,998
83,0,2,998
84,0,2,998
85,0,2,998
86,0,1,999
87,0,1,999
88,0,1,999
89,0,1,999
90,0,1,999
91,0,1,999
92,0,0,1000
93,0,0,1000
94,0,0,1000
95,0,0,1000
96,0,0,1000
97,0,0,1000
98,0,0,1000
99,0,0,1000
100,0,0,1000
101,0,0,1000
102,0,0,1000
103,0,0,1000
104,0,0,1000
105,0,0,1000
106,0,0,1000
107,0,0,1000
108,0,0,1000
109,0,0,1000
110,0,0,1000
111,0,0,1000
112,0,0,1000
113,0,0,1000
114,0,0,1000
115,0,0,1000
116,0,0,1000
117,0,0,1000
118,0,0,1000
119,0,0,1000
120,0,0,1000
